atc,2001,,That feels good!,aah,UH
atc,2001,,Partner of oohed,aahed,VBD
atc,2001,,Dentist's-chair comments,aahs,NNS
atc,2001,,Oohs' followers,aahs,NNS
atc,2001,,Pleasurable sounds,aahs,NNS
atc,2001,,Sounds of contentment,aahs,NNS
atc,2001,,Sounds of delight,aahs,NNS
atc,2001,,Christopher Robin's Dad,aamilne,NNP
atc,2001,,Alpine stream,aar,NNP
atc,2001,,Rhine feeder,aar,NNP
atc,2001,,Bern's river,aare,NNP
atc,2001,,River to the Rhine,aare,NNP
atc,2001,,Swiss flower,aare,NNP
atc,2001,,Swiss river,aare,NNP
atc,2001,,___ Spelling,aaron,NNP
atc,2001,,Hammerin' Hank,aaron,NNP
atc,2001,,Composer Copland,aaron,NNP
atc,2001,,Hammerin' Hank,aaron,NNP
atc,2001,,Hammerin' Hank,aaron,NNP
atc,2001,,Home run champ Henry,aaron,NNP
atc,2001,,Tori's dad,aaron,NNP
atc,2001,,"TV producer, Spelling",aaron,NNP
atc,2001,,Some batteries,aas,NNS
atc,2001,,Walkman batteries,aas,NNS
atc,2001,,Sports org.,aau,NNP
atc,2001,,Arab garment,aba,FW
atc,2001,,Arabian garment,aba,FW
atc,2001,,Attorney's org.,aba,NNP
atc,2001,,JD's org.,aba,NNP
atc,2001,,Judge Judy's org.,aba,NNP
atc,2001,,Lawyers' org.,aba,NNP
atc,1997,,Litigator's group,aba,NNP
atc,2001,,Onetime hoop gr.,aba,NNP
atc,2001,,Early counters,abaci,NNS
atc,2001,,Original computers,abaci,NNS
atc,2001,,Toward the stern,abaft,JJ
atc,2001,,Leave in the lurch,abandon,VB
atc,2001,,Nomadic vests,abas,FW
atc,2001,,Humble,abase,VB
atc,2001,,Discompose,abash,VB
atc,2001,,Disconcert,abash,VB
atc,2001,,Destroys one's confidence,abashes,VBZ
atc,2001,,Die down,abate,VB
atc,2001,,Diminish,abate,VB
atc,2001,,Subsided,abated,VBD
atc,2001,,Dancing Queen band,abba,NNP
atc,2001,,Fernando band,abba,NNP
atc,2001,,S.O.S. singers,abba,NNP
atc,2001,,Take a Chance on Me singers,abba,NNP
atc,2001,,Swedish rock group,abba,NNP
atc,2001,,Swedish rockers,abba,NNP
atc,2001,,Lane of song,abbe,NNP
atc,2001,,Singer Lane,abbe,NNP
atc,2001,,"Singer, _____ Lane",abbe,NNP
atc,2001,,French clerics,abbes,FW
atc,2001,,Monks' milieus,abbeys,NNS
atc,2001,,Monastery bigwig,abbot,NN
atc,2001,,Monastery head,abbot,NN
atc,2003,,She's a dear,abby,NNP
atc,2001,,Lois & Clark network,abc,NNP
atc,2001,,Regis' network,abc,NNP
atc,2001,,1860's White House name,abe,NNP
atc,2001,,Burrows of the theater,abe,NNP
atc,2001,,Deadpan Vigoda,abe,NNP
atc,2001,,Former Justice Fortas,abe,NNP
atc,2001,,Honest prez,abe,NNP
atc,2001,,Jurist Fortas,abe,NNP
atc,2001,,Justice Fortas,abe,NNP
atc,2001,,Saperstein of the Basketball Hall of Fame,abe,NNP
atc,2001,,The fin man?,abe,NNP
atc,2001,,In dreamland,abed,JJ
atc,2001,,In the land of Nod,abed,JJ
atc,2001,,In the sack,abed,JJ
atc,2001,,Dutch navigator Tasman,abel,NNP
atc,2001,,First victim,abel,NNP
atc,2001,,Labor leader I. W.____,abel,NNP
atc,2001,,Emancipator from Nebraska?,abelincoln,NNP
atc,2001,,Burrows and Lincoln,abes,NNPS
atc,2001,,Burrows and Saperstein,abes,NNPS
atc,2001,,Lincoln and Vigoda,abes,NNPS
atc,2001,,Act as accomplice,abet,VB
atc,2001,,Aid nefariously,abet,VB
atc,2001,,Aid's partner,abet,VB
atc,2001,,"Drive the getaway car, e.g.",abet,VB
atc,2001,,Encourage,abet,VB
atc,2001,,Have a hand in,abet,VB
atc,2001,,Help,abet,VB
atc,2001,,Help a hood,abet,VB
atc,2001,,Help with a heist,abet,VB
atc,2001,,Help with a holdup,abet,VB
atc,1999,,Detest,abhor,VB
atc,2001,,Detest,abhor,VB
atc,2001,,Have no use for,abhor,VB
atc,1998,,Loathe,abhor,VB
atc,2001,,Loathe,abhor,VB
atc,2001,,Loathe,abhor,VB
atc,2001,,Stand for,abide,VB
atc,1998,,Put up with,abided,VBD
atc,2001,,Put up with,abided,VBD
atc,2001,,Puts up with,abides,VBZ
atc,2001,,Beau of 55D,abie,NNP
atc,2001,,Irish Rose lover,abie,NNP
